Protein	FHT_Protien_Count	FHT_Protien_ProteinLists	Unique Peptide Count	Unique Sequence Count	Froze_Core_2015_N1_0_10_13	Froze_Core_2015_N1_10_20_21	Froze_Core_2015_N1_20_30_20	Froze_Core_2015_N1_30_40_25	Froze_Core_2015_N1_40_50_16	Froze_Core_2015_N2_0_30_8	Froze_Core_2015_N2_30_40_10	Froze_Core_2015_N2_40_50_1	Froze_Core_2015_N2_50_60_34	Froze_Core_2015_N3_0_10_27	Froze_Core_2015_N3_10_20_30	Froze_Core_2015_N3_20_30_32	Froze_Core_2015_N3_30_40_9	Froze_Core_2015_N3_40_50_6	Froze_Core_2015_N3_50_60_28	Froze_Core_2015_S1_0_10_18	Froze_Core_2015_S1_10_20_33	Froze_Core_2015_S1_20_30_19	Froze_Core_2015_S1_30_40_3	Froze_Core_2015_S1_40_50_17	Froze_Core_2015_S1_50_60_23	Froze_Core_2015_S2_0_10_7	Froze_Core_2015_S2_10_20_24	Froze_Core_2015_S2_20_30_31	Froze_Core_2015_S2_30_40_15	Froze_Core_2015_S2_40_50_29	Froze_Core_2015_S2_50_60_2	Froze_Core_2015_S3_0_10_22	Froze_Core_2015_S3_10_20_5	Froze_Core_2015_S3_20_30_14	Froze_Core_2015_S3_30_40_12	Froze_Core_2015_S3_40_50_26	Froze_Core_2015_S3_50_60_4
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_1_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_1_0004	3	3			2	1													2																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_1_0009	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_1_0009	1	1			1	1				1																									
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_102_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_102_0001	3	3		2	3	5		3		4	2					2	2		3	3		3	3												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_102_0002	2	"S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_102_0002, S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_30_0011"	4	4		2	2	3	3	2	1	1	1					1	1		4	1	1	1	1				2		1	4	3	1		1	1
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_11_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_11_0005	1	1		1				1		1						1				1															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_114_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_114_0005	1	1																											1						
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_115_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_115_0004	2	2		2	1														2																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_115_0006	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_115_0006	7	5		1	2				2	2	3		1			3	4			1			1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_12_0007	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_12_0007	2	2											2							1															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_125_0009	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_125_0009	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_128_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_128_0001	2	2	1	2		1	1		3								1			1		1	1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_128_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_128_0002	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_128_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_128_0004	4	4		1	3	1		1	2	2	1					2							1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_13_0009	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_13_0009	1	1									1																								
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_133_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_133_0005	4	2		6	3			3		7						2	2		4	5															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_134_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_134_0003	1	1																													1				
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_134_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_134_0004	7	7		5	6	2	2	2	5	3	6		2			4	3		1	5	3	3	3												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_139_0012	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_139_0012	1	1								1																									
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_139_0014	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_139_0014	1	1																												1					
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_143_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_143_0004	19	17	3	26	27	25	18	22	31	18	10		13	1	2	21	28	1	7	33	7	28	28				3	1	1	1	9	7	10	6	2
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_145_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_145_0004	1	1											2																						
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_149_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_149_0002	1	1									1																								
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_15_0019	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_15_0019	4	4		1	4			1	2		2					2							1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_152_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_152_0002	1	1								1																									
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_152_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_152_0003	11	10		10	8	5	8	16	22	14	12	1	6			13	10	1	8	24	6	14	9			1	14	7	6	2	10	13	6	8	7
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_154_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_154_0005	1	1					1																												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_164_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_164_0003	1	1																	2																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_164_0005	2	"S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_164_0005, S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_87_0009"	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_171_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_171_0005	3	3			1					1						1	1		4																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_173_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_173_0004	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_175_0006	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_175_0006	1	1		1	2	1	1	3	3	2	2					2	2			1		1	1				1	1			1		3	1	1
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_177_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_177_0001	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_18_0013	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_18_0013	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_183_0006	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_183_0006	1	1		1																															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_184_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_184_0001	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_19_0014	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_19_0014	1	1															1																		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_19_0016	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_19_0016	1	1					1		1								1																		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_194_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_194_0003	5	5									5								1	2		4													
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_197_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_197_0003	2	2		2	2												1																		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_20_0011	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_20_0011	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_21_0011	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_21_0011	6	6		2	2	1		2		2						1	1		7	2		1	2							2					
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_21_0022	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_21_0022	3	3		1	2				2								1																		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_216_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_216_0001	1	1					1																												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_219_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_219_0005	2	2							2	1	1						1																		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_227_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_227_0002	1	1		1	1	1		1	1	1	1									1		1	1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_23_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_23_0002	1	1										1																							
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_23_0007	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_23_0007	4	4		4	1	2		1	1							1	1		2	2															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_231_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_231_0003	10	10		4	3	1		4	2	6	5		1			8	1		3	4			3								1		1		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_233_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_233_0004	1	1					1																												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_25_0008	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_25_0008	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_25_0012	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_25_0012	1	1		1																1			1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_252_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_252_0001	1	1																		1															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_26_0007	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_26_0007	12	12		7	5	5		5	3	6	6					11	6		1	1		1	2								3		2	1	
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_261_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_261_0002	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_269_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_269_0003	2	2							1								1		1								1			1					
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_28_0006	4	"S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_142_0001, S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_22_0001, S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_28_0006, S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_37_0004"	1	1																									1					1			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_29_0013	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_29_0013	6	6		4	2	2	2	4	5	4	3		2			4	5		3	5		3	4						1		3	2	2	3	
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_30_0011	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_30_0011	3	3								2	1									1															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_301_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_301_0005	1	1																												1					
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_302_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_302_0003	1	1								1	1											1													
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_302_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_302_0004	1	1																				1													
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_31_0011	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_31_0011	5	5		1				4								2			3	1			1								1				
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_318_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_318_0002	1	1																	2																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_322_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_322_0004	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_33_0014	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_33_0014	1	1														1																			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_330_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_330_0003	1	1		1																															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_35_0007	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_35_0007	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_353_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_353_0001	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_358_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_358_0002	1	1																														1			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_36_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_36_0002	2	2		1	1	4	1		1	1	2					1	1			1		2	1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_36_0008	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_36_0008	3	3			2	1	2	1	8	1						1	3					1										1	1		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_36_0009	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_36_0009	1	1						1		1						1																			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_365_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_365_0004	1	1			2				1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_37_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_37_0003	1	1																									1								2
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_37_0009	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_37_0009	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_375_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_375_0001	2	2			2	1		1	2	1	1					1	2		1	1		1	1				1				1	1	1	2	
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_38_0009	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_38_0009	12	11		9	14	8	5	4	6	9	12		2			7	6		3	7		5	6					1			1		2	1	
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_38_0010	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_38_0010	5	4		1	1		1	1	2	1	2					2	2			1			1									1			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_387_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_387_0004	1	1										1																							
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_388_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_388_0002	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_4_0018	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_4_0018	1	1		2																															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_41_0007	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_41_0007	3	3		2					1							1																			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_41_0012	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_41_0012	1	1		1	1	1				1	1					1				1			1						1				1	1	
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_43_0012	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_43_0012	8	8		5	4	4	1	5	1	8	7		4			3	4		1	5	1	2	4								1				
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_44_0012	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_44_0012	2	2		1	3		1		1	1										1		1													
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_45_0008	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_45_0008	2	2		1	1				2																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_46_0008	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_46_0008	43	37		10	29	22	5	38	4	48	73		12	1		33	29		12	49	9	50	22	1			44	22	12	1	18	54	29	33	37
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_49_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_49_0004	5	5		1				1			3								1	1		1											1		
